date,total_events,new_repos
2019-01-01,94232,32973
2019-01-02,169715,57271
2019-01-03,185115,60415
2019-01-04,180260,58723
2019-01-05,125077,44548
2019-01-06,125699,44970
2019-01-07,194842,65408
2019-01-08,203973,66036
2019-01-09,198830,62487
2019-01-10,198644,62244
2019-01-11,185327,60041
2019-01-12,118388,41520
2019-01-13,121101,42152
2019-01-14,192340,63050
2019-01-15,192102,60850
2019-01-16,199751,62107
2019-01-17,200670,64228
2019-01-18,187688,62380
2019-01-19,120497,41802
2019-01-20,115236,40949
2019-01-21,173480,56926
2019-01-22,196794,62396
2019-01-23,212740,62561
2019-01-24,208408,61957
2019-01-25,192700,58264
2019-01-26,135410,41551
2019-01-27,144808,42254
2019-01-28,201982,61137
2019-01-29,207334,62966
2019-01-30,209854,62498
2019-01-31,204983,61887
2019-02-01,190714,54017
2019-02-02,166600,41103
2019-02-03,125560,40037
2019-02-04,189614,55534
2019-02-05,204805,56262
2019-02-06,219694,62574
2019-02-07,224521,65554
2019-02-08,220538,62274
2019-02-09,154773,49150
2019-02-10,156031,50324
2019-02-11,238913,72235
2019-02-12,257731,74373
2019-02-13,255761,74799
2019-02-14,244093,69363
2019-02-15,238040,66789
2019-02-16,163629,51852
2019-02-17,165841,52000
2019-02-18,255560,73968
2019-02-19,258280,76548
2019-02-20,259852,78024
2019-02-21,259262,77369
2019-02-22,242491,71874
2019-02-23,169443,54543
2019-02-24,167547,55336
2019-02-25,266980,79982
2019-02-26,277126,83107
2019-02-27,264133,79494
2019-02-28,263474,77771
2019-03-01,243800,70274
2019-03-02,183984,55773
2019-03-03,175384,58153
2019-03-04,258179,76968
2019-03-05,265624,75814
2019-03-06,260110,77760
2019-03-07,260798,77125
2019-03-08,239919,71494
2019-03-09,170238,56155
2019-03-10,173841,58815
2019-03-11,262010,81585
2019-03-12,268467,81961
2019-03-13,250454,73943
2019-03-14,256742,78649
2019-03-15,235700,73430
2019-03-16,165285,54306
2019-03-17,163809,57103
2019-03-18,255514,80584
2019-03-19,256943,82186
2019-03-20,266088,82003
2019-03-21,249907,79955
2019-03-22,232172,73151
2019-03-23,156900,55726
2019-03-24,160290,57169
2019-03-25,248012,79669
2019-03-26,260223,81746
2019-03-27,259325,82062
2019-03-28,251520,79193
2019-03-29,243577,74729
2019-03-30,190916,57174
2019-03-31,161304,56532
2019-04-01,258400,81418
2019-04-02,266411,82974
2019-04-03,258165,82050
2019-04-04,253954,80714
2019-04-05,221366,68018
2019-04-06,153557,53606
2019-04-07,168766,58188
2019-04-08,262850,81501
2019-04-09,231272,74479
2019-04-10,259819,82626
2019-04-11,246109,79919
2019-04-12,237861,74355
2019-04-13,161357,55360
2019-04-14,158403,55822
2019-04-15,241675,75532
2019-04-16,254753,79122
2019-04-17,242092,76264
2019-04-18,232220,72354
2019-04-19,197678,63636
2019-04-20,147531,50958
2019-04-21,149276,55762
