date,new_repos
1/1/19,30255
1/2/19,53079
1/3/19,56219
1/4/19,54709
1/5/19,41130
1/6/19,41616
1/7/19,60900
1/8/19,61308
1/9/19,58372
1/10/19,57694
1/11/19,56036
1/12/19,38918
1/13/19,39551
1/14/19,58556
1/15/19,56403
1/16/19,56927
1/17/19,59681
1/18/19,58375
1/19/19,38639
1/20/19,37805
1/21/19,53158
1/22/19,58043
1/23/19,57992
1/24/19,57731
1/25/19,54448
1/26/19,38464
1/27/19,39208
1/28/19,57063
1/29/19,58524
1/30/19,58191
1/31/19,57549
2/1/19,50320
2/2/19,38138
2/3/19,37155
2/4/19,51644
2/5/19,52457
2/6/19,58011
2/7/19,60595
2/8/19,57499
2/9/19,45214
2/10/19,46112
2/11/19,66920
2/12/19,68927
2/13/19,69153
2/14/19,64667
2/15/19,62135
2/16/19,48341
2/17/19,48340
2/18/19,69211
2/19/19,71644
2/20/19,72989
2/21/19,71810
2/22/19,65942
2/23/19,50716
2/24/19,50941
2/25/19,72869
2/26/19,74811
2/27/19,73215
2/28/19,71947
3/1/19,64856
3/2/19,50998
3/3/19,53067
3/4/19,71055
3/5/19,70353
3/6/19,72206
3/7/19,71473
3/8/19,66079
3/9/19,51774
3/10/19,54000
3/11/19,75554
3/12/19,76151
3/13/19,69266
3/14/19,72719
3/15/19,68092
3/16/19,50665
3/17/19,53268
3/18/19,74980
3/19/19,76420
3/20/19,75011
3/21/19,73234
3/22/19,67050
3/23/19,51299
3/24/19,52665
3/25/19,74061
3/26/19,75506
3/27/19,75430
3/28/19,73023
3/29/19,69469
3/30/19,52685
3/31/19,52010
4/1/19,75733
4/2/19,77299
4/3/19,76414
4/4/19,74973
4/5/19,62425
4/6/19,49134
4/7/19,53322
4/8/19,75576
4/9/19,69447
4/10/19,76501
4/11/19,74135
4/12/19,68618
4/13/19,50695
4/14/19,51247
4/15/19,69781
4/16/19,73501
4/17/19,70016
4/18/19,67033
4/19/19,58505
4/20/19,46699
4/21/19,51461
4/22/19,68389
4/23/19,71968
4/24/19,70610
4/25/19,69575
4/26/19,62694
4/27/19,48325
4/28/19,51313
4/29/19,68479
4/30/19,67531
5/1/19,55558
5/2/19,63048
5/3/19,58638
5/4/19,47582
5/5/19,51555
5/6/19,69048
5/7/19,74229
5/8/19,60881
5/9/19,68710
5/10/19,66684
5/11/19,49208
5/12/19,48839
5/13/19,70523
5/14/19,73271
5/15/19,71289
5/16/19,71686
5/17/19,64055
5/18/19,47927
5/19/19,49877
5/20/19,69139
5/21/19,72102
5/22/19,72011
5/23/19,69729
5/24/19,64256
5/25/19,48577
5/26/19,47152
5/27/19,66741
5/28/19,71209
5/29/19,69044
5/30/19,68051
5/31/19,64099
6/1/19,45987
6/2/19,47201
6/3/19,70617
6/4/19,71641
6/5/19,68159
6/6/19,65937
6/7/19,57111
6/8/19,43841
6/9/19,46244
6/10/19,70428
6/11/19,72020
6/12/19,69439
6/13/19,68270
6/14/19,62790
6/15/19,46457
6/16/19,45851
