date,total_events,new_repos,python_repos
2019-01-01,94232,32973,0
2019-01-02,169715,57271,0
2019-01-03,185115,60415,0
2019-01-04,180260,58723,0
2019-01-05,125077,44548,0
2019-01-06,125699,44970,0
2019-01-07,194842,65408,0
2019-01-08,203973,66036,0
2019-01-09,198830,62487,0
2019-01-10,198644,62244,0
2019-01-11,185327,60041,0
2019-01-12,118388,41520,0
2019-01-13,121101,42152,0
2019-01-14,192340,63050,0
2019-01-15,192102,60850,0
2019-01-16,199751,62107,0
2019-01-17,200670,64228,0
2019-01-18,187688,62380,0
2019-01-19,120497,41802,0
2019-01-20,115236,40949,0
2019-01-21,173480,56926,0
2019-01-22,196794,62396,0
2019-01-23,212740,62561,0
2019-01-24,208408,61957,0
2019-01-25,192700,58264,0
2019-01-26,135410,41551,0
2019-01-27,144808,42254,0
2019-01-28,201982,61137,0
2019-01-29,207334,62966,0
2019-01-30,209854,62498,0
2019-01-31,204983,61887,0
2019-02-01,190714,54017,0
2019-02-02,166600,41103,0
2019-02-03,125560,40037,0
2019-02-04,189614,55534,0
2019-02-05,204805,56262,0
2019-02-06,219694,62574,0
2019-02-07,224521,65554,0
2019-02-08,220538,62274,0
2019-02-09,154773,49150,0
2019-02-10,156031,50324,0
2019-02-11,238913,72235,0
2019-02-12,257731,74373,0
2019-02-13,255761,74799,0
2019-02-14,244093,69363,0
2019-02-15,238040,66789,0
2019-02-16,163629,51852,0
2019-02-17,165841,52000,0
2019-02-18,255560,73968,0
2019-02-19,258280,76548,0
2019-02-20,259852,78024,0
2019-02-21,259262,77369,0
2019-02-22,242491,71874,0
2019-02-23,169443,54543,0
2019-02-24,167547,55336,0
2019-02-25,266980,79982,0
2019-02-26,277126,83107,0
2019-02-27,264133,79494,0
2019-02-28,263474,77771,0
2019-03-01,243800,70274,0
2019-03-02,183984,55773,0
2019-03-03,175384,58153,0
2019-03-04,258179,76968,0
2019-03-05,265624,75814,0
2019-03-06,260110,77760,0
2019-03-07,260798,77125,0
2019-03-08,239919,71494,0
2019-03-09,170238,56155,0
2019-03-10,173841,58815,0
2019-03-11,262010,81585,0
2019-03-12,268467,81961,0
2019-03-13,250454,73943,0
2019-03-14,256742,78649,0
2019-03-15,235700,73430,0
2019-03-16,165285,54306,0
2019-03-17,163809,57103,0
2019-03-18,255514,80584,0
2019-03-19,256943,82186,0
2019-03-20,266088,82003,0
2019-03-21,249907,79955,0
2019-03-22,232172,73151,0
2019-03-23,156900,55726,0
2019-03-24,160290,57169,0
2019-03-25,248012,79669,0
2019-03-26,260223,81746,0
2019-03-27,259325,82062,0
2019-03-28,251520,79193,0
2019-03-29,243577,74729,0
2019-03-30,190916,57174,0
2019-03-31,161304,56532,0
2019-04-01,258400,81418,0
2019-04-02,266411,82974,0
2019-04-03,258165,82050,0
2019-04-04,253954,80714,0
2019-04-05,221366,68018,0
2019-04-06,153557,53606,0
2019-04-07,168766,58188,0
2019-04-08,262850,81501,0
2019-04-09,231272,74479,0
2019-04-10,259819,82626,0
2019-04-11,246109,79919,0
2019-04-12,237861,74355,0
2019-04-13,161357,55360,0
2019-04-14,158403,55822,0
2019-04-15,241675,75532,0
2019-04-16,254753,79122,0
2019-04-17,242092,76264,0
2019-04-18,232220,72354,0
2019-04-19,197678,63636,0
2019-04-20,147531,50958,0
2019-04-21,149276,55762,0
2019-04-22,224269,73910,0
2019-04-23,253894,77654,0
2019-04-24,257113,75944,0
2019-04-25,245351,74921,0
2019-04-26,228563,67752,0
2019-04-27,159966,52835,0
2019-04-28,168469,55801,0
2019-04-29,240098,73506,0
2019-04-30,236066,72349,0
2019-05-01,200444,59940,0
2019-05-02,232127,67896,0
2019-05-03,217657,62662,0
2019-05-04,161338,51690,0
2019-05-05,170361,56237,0
2019-05-06,239466,74322,0
2019-05-07,247302,79073,0
2019-05-08,211757,65022,0
2019-05-09,238415,73617,0
2019-05-10,226141,71147,0
2019-05-11,153904,53575,0
2019-05-12,153307,53200,0
2019-05-13,244420,76260,0
2019-05-14,254410,79000,0
2019-05-15,252080,76669,0
2019-05-16,243871,76823,0
2019-05-17,219280,68459,0
2019-05-18,145145,51598,0
2019-05-19,158284,53709,0
2019-05-20,234896,74516,0
2019-05-21,258720,78052,0
2019-05-22,249978,78458,0
2019-05-23,254987,75821,0
2019-05-24,244358,70501,0
2019-05-25,173053,52762,0
2019-05-26,152771,51551,0
2019-05-27,226268,72700,0
2019-05-28,247043,76513,0
2019-05-29,234818,73774,0
2019-05-30,241348,73025,0
2019-05-31,235654,68924,0
2019-06-01,148701,49661,0
2019-06-02,149536,50720,0
2019-06-03,240273,75054,0
2019-06-04,250460,77058,0
2019-06-05,257096,72865,0
2019-06-06,252505,70297,0
2019-06-07,215374,61399,0
2019-06-08,138036,47218,0
2019-06-09,142835,49593,0
2019-06-10,241523,75369,0
2019-06-11,252480,76988,0
2019-06-12,245993,74361,0
2019-06-13,246418,73059,0
2019-06-14,221747,67122,0
2019-06-15,142996,49953,0
2019-06-16,152222,49295,0
2019-06-17,235056,74190,0
2019-06-18,241016,76387,0
2019-06-19,239848,76070,0
2019-06-20,237283,72482,0
2019-06-21,225757,67099,0
2019-06-22,152014,49700,0
2019-06-23,150348,51357,0
2019-06-24,261860,79040,0
2019-06-25,267708,81995,0
2019-06-26,258075,78621,0
2019-06-27,251815,72644,0
2019-06-28,218201,67067,0
2019-06-29,142290,48459,0
2019-06-30,141243,49516,0
2019-07-01,247859,74417,0
2019-07-02,250130,76870,0
2019-07-03,264502,77662,0
2019-07-04,241093,69904,0
2019-07-05,215737,66127,0
2019-07-06,146197,49394,0
2019-07-07,144315,49967,0
2019-07-08,253122,77340,0
2019-07-09,262505,78172,0
2019-07-10,259392,76515,0
2019-07-11,284068,76235,0
2019-07-12,252831,71610,0
2019-07-13,167517,50464,0
2019-07-14,157794,50754,0
2019-07-15,262163,77653,0
2019-07-16,260096,77204,0
2019-07-17,272960,76858,0
2019-07-18,258191,74417,0
2019-07-19,237358,68485,0
2019-07-20,152624,50335,0
2019-07-21,156398,50582,0
2019-07-22,256868,78949,0
2019-07-23,273086,81870,0
2019-07-24,263211,78272,0
2019-07-25,254034,76408,0
2019-07-26,237744,70494,0
2019-07-27,163357,53090,0
2019-07-28,168907,54470,0
2019-07-29,257818,77626,0
2019-07-30,258313,79648,0
2019-07-31,249515,77030,0
2019-08-01,251686,75743,0
2019-08-02,231708,71434,0
2019-08-03,150483,52500,0
2019-08-04,154679,53978,0
2019-08-05,252625,77226,0
2019-08-06,256363,78095,0
2019-08-07,272953,88158,0
2019-08-08,283396,93415,0
2019-08-09,274244,90172,0
2019-08-10,186632,70062,0
2019-08-11,171924,63678,0
2019-08-12,260835,85703,0
2019-08-13,284630,91411,0
2019-08-14,264682,82861,0
2019-08-15,244020,76455,0
2019-08-16,241317,77900,0
2019-08-17,162121,56635,0
2019-08-18,176255,59096,0
2019-08-19,269446,83193,0
2019-08-20,280799,86056,0
2019-08-21,284987,88627,0
2019-08-22,278915,86706,0
2019-08-23,256565,82335,0
2019-08-24,182770,64054,0
2019-08-25,178540,63941,0
2019-08-26,273894,68447,0
2019-08-27,288290,62007,0
2019-08-28,289959,71075,0
2019-08-29,304646,98786,0
2019-08-30,268456,86650,0
2019-08-31,177305,64943,0
2019-09-01,184031,65001,0
2019-09-02,268278,90309,0
2019-09-03,306302,103819,0
2019-09-04,311805,105780,0
2019-09-05,306299,103216,0
2019-09-06,280858,92840,0
2019-09-07,194335,71364,0
2019-09-08,193689,71575,0
2019-09-09,314256,105009,0
2019-09-10,324862,111972,0
2019-09-11,307249,104240,0
2019-09-12,87745,30509,0
2019-09-13,202070,64665,0
2019-09-14,195991,69761,0
2019-09-15,195707,72311,0
2019-09-16,321224,105765,0
2019-09-17,327807,108658,0
2019-09-18,326870,106904,0
2019-09-19,315519,103087,0
2019-09-20,275744,85534,0
2019-09-21,193753,67415,0
2019-09-22,200817,68184,0
2019-09-23,302776,93801,0
2019-09-24,296349,89911,0
2019-09-25,306600,96014,0
2019-09-26,302524,95178,0
2019-09-27,276249,85273,0
2019-09-28,200605,67888,0
2019-09-29,211781,69290,0
2019-09-30,302491,91088,0
2019-10-01,309138,87990,0
2019-10-02,303742,88660,0
2019-10-03,294277,86850,0
2019-10-04,306192,80106,0
2019-10-05,193779,62041,0
2019-10-06,193364,63474,0
2019-10-07,292995,87946,0
2019-10-08,307307,92057,0
2019-10-09,307550,92665,0
2019-10-10,308885,87960,0
2019-10-11,283798,86519,0
2019-10-12,205936,69655,0
2019-10-13,198997,68551,0
2019-10-14,311072,94163,0
2019-10-15,321345,98404,0
2019-10-16,297649,92976,0
2019-10-17,303689,90928,0
2019-10-18,303908,85251,0
2019-10-19,205673,69328,0
2019-10-20,206694,69730,0
2019-10-21,404501,94940,0
2019-10-22,366997,96770,0
2019-10-23,332821,94342,0
2019-10-24,286347,87940,0
2019-10-25,273279,82648,0
2019-10-26,191634,65456,0
2019-10-27,191887,65339,0
2019-10-28,309976,91427,0
2019-10-29,363441,90285,0
